,id,gerne_id,gerne_idx
911,591d023a88fd41d586b64976f642a3bd,2,1
912,59286fce19734b36b14e8f06fd527b39,5,4
913,593a6e62b8ff4967959ab0ec82380b6c,5,4
914,5967657f48d4432dbeda62f6c0f870c8,2,1
915,5970c57e32d14d91999853121c3e5a84,5,4
916,5989257eda794089af898e41d47b5441,5,4
917,5991799008904880a4176e2cd16ac4b6,8,7
918,59a61ed291474862b6798500095cb73a,6,5
919,59a96846453d4cdba404671e5f023ca2,6,5
920,5a1af68aee944b50b35b943d336dcab3,10,9
921,5a49047ca572411ab97ca3f07fef9bca,1,0
922,5a4b7663da35416380e931b23b3e164e,4,3
923,5aad3fe60076430bb0f2375666b76605,3,2
924,5ac0cc176a1a4e309ffd6710a90d357b,8,7
925,5adc9422cdc445148c62f18c0b46deee,1,0
926,5adca307121c48309b89f44066e031b6,7,6
927,5aea430348e84863b87e86bb10621822,1,0
928,5b19ac93e8a14f00ae570920b4a82ebf,2,1
929,5b19d91ce277498985823f450b7b518a,9,8
930,5b34e261e4284e17885786cd6dd13931,4,3
931,5b5ceba8951e408eb44e636a8881966a,7,6
932,5b663606805044a297ae206121a277fa,7,6
933,5b6c5a2e8353467f93dca6113436ec24,1,0
934,5b7e0e531d9044b19d0b15e654b4b277,7,6
935,5b8742cf59d845d3aaaca26524ff3319,6,5
936,5b93f3431c6345efbc1095582dbde01c,5,4
937,5bab51b2b825455fbab45fc2e40df850,7,6
938,5bb843114d9d4d96af6d4c77b2443edc,10,9
939,5bdfb5cfa6ee452f87487a36a481dd2e,4,3
940,5bf5cb4af9d347189da27e858ee61e36,7,6
941,5c047351b1e84f3f81422c79a4b945f5,8,7
942,5c2170359d374ffd91827cc055f4c2c8,1,0
943,5c29b2ece65b4ae895b79b23b200c701,10,9
944,5c541fc9e8b449b99db358b79ce4db37,9,8
945,5c5e7ef46fa4422c90a027dcd243e4dd,4,3
946,5c642510ed3a403ba2e10c575fc3ec27,2,1
947,5c8c12f6396049a2a0c92ac04d2b7202,2,1
948,5cad3e0d0fd4445488c63632fc85efbb,3,2
949,5cb711ee65f64fbeb9ed9fc58ffee199,9,8
950,5cd2f3cef4ed4c52972606c0f8216658,9,8
951,5ce9f103517944758ee1171bc6cf4942,10,9
952,5d0a3da61f984ffc8f5a6d123740a83d,6,5
953,5d68ead0c8ac4f18acd954c0ca65b55f,3,2
954,5d6a7bc7826e4c3584419a2639862f9b,3,2
955,5d9bed416a684b08a870d6a53bed6612,5,4
956,5db6bbf84aee46ba9b3c3c6fdde04e58,4,3
957,5dbac4bc682642debccbd732bb3ca45a,2,1
958,5ddee3797a9f4c4686bfe3a750448dd9,3,2
959,5de86bf50fc748788ec14efa63ce5246,4,3
960,5e25e398b01f4e8f9707d11305ce09f1,2,1
961,5e369a4333ad434e8462da4705b24482,8,7
962,5e613651c01941de9e62b04df6c1ff0d,9,8
963,5e975a4114d1486a956bc58598a06b1a,7,6
964,5ec637ab639344a290844b6f917ba5be,6,5
965,5ede9d95e57f4d83838b5f9763bb2b52,2,1
966,5efa4f58e5d74bf9a83febe1281c7574,2,1
967,5efcbb53d3d94eaa9ee884c357e3b26a,6,5
968,5f1a9ef7c15e4ede9e10f91786ac307f,3,2
969,5f2da5b4d91d4e6da060ce2f0aa63180,2,1
970,5f369f77570745f9bdb10f09e3c059cf,8,7
